SERIALS,/test/edit_jan_14_CogentCom,/test/edit_jan_14_verisign_j,/test/edit_jan_14_RIPE,/test/edit_jan_14_ICANN,/test/edit_jan_14_NASA,/test/edit_jan_14_Netnod,/test/edit_jan_14_USDD,/test/edit_jan_14_ISC,/test/edit_jan_14_Army,/test/edit_jan_14_UM,/test/edit_jan_14_verisign_a,/test/edit_jan_14_USC,/test/edit_jan_14_WIDE
Name,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:14:54.904568,22:14:54.9188,22:14:54.921811,22:14:54.932211,22:14:54.934567,22:14:54.94069,22:14:55.091012,22:14:55.361142,22:14:57.427524,22:15:25.894598,22:15:25.894923,22:17:26.162732,22:24:58.933993
Delta,0,0.014232000001356937,0.017242999994778074,0.027643000008538365,0.02999900000577327,0.03612200000497978,0.18644400000630412,0.45657399999618065,2.522956000000704,30.990030000000843,30.990355000001728,151.25816399999894,604.0294250000006
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,10:27:50.462428,10:27:51.199639,10:27:51.202735,10:27:51.224671,10:27:51.229137,10:27:51.230216,10:27:51.290591,10:27:51.312444,10:27:51.63854,10:27:52.805068,10:28:21.270052,10:30:21.490105,10:38:24.16423
Delta,0,0.737210999999661,0.7403070000000298,0.7622430000046734,0.7667090000031749,0.7677880000046571,0.8281629999983124,0.8500160000039614,1.1761120000010123,2.342640000002575,30.807624000000942,151.02767699999822,633.7018020000032
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:11:3.676853,22:11:14.321877,22:11:14.325513,22:11:14.32649,22:11:14.336896,22:11:14.338813,22:11:14.340453,22:11:14.348589,22:11:14.568064,22:11:44.373854,22:11:44.513059,22:13:44.61191,22:24:17.984319
Delta,0,10.645023999997647,10.648660000006203,10.649637000009534,10.660042999996222,10.661959999997634,10.66359999999986,10.671736000003875,10.891211000009207,40.69700100000773,40.83620600000722,160.9350570000097,794.3074659999984
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,10:29:1.981044,10:29:4.870406,10:29:4.870607,10:29:4.880881,10:29:4.887474,10:29:4.893934,10:29:4.900144,10:29:4.902229,10:29:4.91055,10:29:4.92139,10:30:4.98896,10:31:5.121145,10:34:38.011911
